Barra , 51 , will be the first woman to lead a firm in the American auto industry .	will be 	Barra 	the first woman to lead a firm in the American auto industry 
I 'm honored to lead the best team in the business and to keep our momentum at full speed . ''	honored to lead 	I 'm 	the best team in the business 
I 'm honored to lead the best team in the business and to keep our momentum at full speed . ''	to keep 	I 'm 	our momentum at full speed 
She replaces Daniel Akerson , who was appointed by the government as both chief executive and chairman in 2009 during the company 's bankruptcy .	replaces 	She 	Daniel Akerson 
She replaces Daniel Akerson , who was appointed by the government as both chief executive and chairman in 2009 during the company 's bankruptcy .	was appointed by 	Daniel Akerson 	the government 
She replaces Daniel Akerson , who was appointed by the government as both chief executive and chairman in 2009 during the company 's bankruptcy .	as 	Daniel Akerson 	both chief executive and chairman 
She replaces Daniel Akerson , who was appointed by the government as both chief executive and chairman in 2009 during the company 's bankruptcy .	in 	Daniel Akerson 	2009 
She replaces Daniel Akerson , who was appointed by the government as both chief executive and chairman in 2009 during the company 's bankruptcy .	's 	the company 	bankruptcy 
Akerson plans to stand down on January 15 following his wife 's advanced cancer diagnosis .	plans to stand down 	Akerson 	on January 15 
Akerson plans to stand down on January 15 following his wife 's advanced cancer diagnosis .	's advanced cancer diagnosis 	his wife 	 
Akerson will also relinquish his chairman role , to be replaced by current director Theodore Solso .	will also relinquish 	Akerson 	his chairman role 
Akerson will also relinquish his chairman role , to be replaced by current director Theodore Solso .	to be replaced by 	his chairman role 	current director Theodore Solso 
General Motors recovered from their bankruptcy a year after the appointment of Akerson , and re-entered the stock market in November 2010 .	recovered from 	General Motors 	their bankruptcy 
General Motors recovered from their bankruptcy a year after the appointment of Akerson , and re-entered the stock market in November 2010 .	re-entered 	General Motors 	the stock market in November 2010 
General Motors recovered from their bankruptcy a year after the appointment of Akerson , and re-entered the stock market in November 2010 .	had 	General Motors 	the appointment of Akerson 
It remains the largest car manufacturer in the United States , posting sales figures of $ 152 billion in 2012 .	remains 	It 	the largest car manufacturer in the United States 
It remains the largest car manufacturer in the United States , posting sales figures of $ 152 billion in 2012 .	posting sales figures of 	It 	$ 152 billion in 2012 
Hundreds of people came to welcome him home and celebrate his release , despite an Israeli order given to his family not to have a public party for his arrival .	came to welcome 	hundreds of people 	him 
Hundreds of people came to welcome him home and celebrate his release , despite an Israeli order given to his family not to have a public party for his arrival .	given 	his family 	an Israeli order 
Hundreds of people came to welcome him home and celebrate his release , despite an Israeli order given to his family not to have a public party for his arrival .	not to have 	his family 	a public party for his arrival 
In 2011 , during a prisoner exchange deal Israel made with Hamas , Issawi was released along with over a thousand other Palestinian prisoners .	made with 	Israel 	Hamas 
In 2011 , during a prisoner exchange deal Israel made with Hamas , Issawi was released along with over a thousand other Palestinian prisoners .	was released along with 	Issawi 	over a thousand other Palestinian prisoners 
As a protest against the punishment , Issawi began a publicized hunger strike .	began 	Issawi 	a publicized hunger strike 
As a protest against the punishment , Issawi began a publicized hunger strike .	protest against 	Issawi 	the punishment 
Consequentially , his medical condition deteriorated and became critical .	deteriorated 	his medical condition 	 
Consequentially , his medical condition deteriorated and became critical .	became 	his medical condition 	critical 
According to the Los Angeles Times , Israel decided to start a negotiation lest Issawi 's death in the Israeli prison cause violence from the Palestinians in the West Bank .	decided to start a negotiation 	Israel 	lest Issawi 's death in the Israeli prison cause violence from the Palestinians in the West Bank 
Scotland 's Police Investigations and Review Commissioner -LRB- PIRC -RRB- has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel .	has criticised 	Scotland 's Police Investigations and Review Commissioner 	the national force 
Scotland 's Police Investigations and Review Commissioner -LRB- PIRC -RRB- has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel .	for failing to stop 	the national force 	a driver reported to them 
Scotland 's Police Investigations and Review Commissioner -LRB- PIRC -RRB- has criticised the national force for failing to stop a driver reported to them for being drunk behind the wheel .	reported to them for being 	a driver 	drunk behind the wheel 
Police 's Tayside Division received a report on June 30 last year from a member of the public that a 19-year-old motorist was drunk .	received 	Police 's Tayside Division 	a report on June 30 last year from a member of the public 
Police 's Tayside Division received a report on June 30 last year from a member of the public that a 19-year-old motorist was drunk .	that 	a member of the public 	a 19-year-old motorist was drunk 
The man subsequently crashed near Forfar , seriously injuring himself and one of his three passengers .	crashed 	The man 	near Forfar 
The man subsequently crashed near Forfar , seriously injuring himself and one of his three passengers .	injuring 	The man 	himself 
The man subsequently crashed near Forfar , seriously injuring himself and one of his three passengers .	injuring 	The man 	one of his three passengers 
The other two occupants sustained lesser injuries .	sustained 	The other two occupants 	lesser injuries 
The report calls on Police Scotland to remind officers of standard procedure for dealing with suspected drink-driving calls .	calls on 	The report 	Police Scotland 
The report calls on Police Scotland to remind officers of standard procedure for dealing with suspected drink-driving calls .	to remind officers of 	Police Scotland 	standard procedure 
